drug1_normalized,drug2_normalized,severity,description,reference
telmisartan,spironolactone,major,"Hyperkalemia risk",DrugBank
clopidogrel,omeprazole,major,"Reduced antiplatelet effect",Liverpool
azithromycin,amiodarone,major,"QT prolongation → torsades risk",DrugBank
ondansetron,amiodarone,major,"QT prolongation",DrugBank
domperidone,erythromycin,major,"QT prolongation",DrugBank
ranitidine,procainamide,major,"Increased procainamide levels",DrugBank
pioglitazone,gemfibrozil,major,"Increased pioglitazone exposure → edema/heart failure risk",DrugBank
hydrochlorothiazide,lithium,major,"Increased lithium toxicity",DrugBank
ibuprofen,enalapril,moderate,"Reduced antihypertensive effect + kidney risk",Common
aspirin,ibuprofen,major,"Reduced antiplatelet effect + GI bleed risk",DrugBank
metformin,iodinated contrast,major,"Risk of lactic acidosis in renal impairment",OpenFDA
pantoprazole,atazanavir,major,"Reduced atazanavir absorption",Liverpool
atorvastatin,erythromycin,moderate,"Increased statin exposure",DrugBank
glimepiride,gemfibrozil,moderate,"Increased hypoglycemia risk",DrugBank
levothyroxine,soy products,moderate,"Reduced absorption",Common
ciprofloxacin,warfarin,major,"Increased anticoagulation effect",DrugBank
amoxicillin,allopurinol,major,"Increased risk of rash",DrugBank
warfarin,fluoxetine,major,"Increased bleeding risk due to platelet inhibition",DrugBank
warfarin,trimethoprim-sulfamethoxazole,major,"Marked INR elevation and bleeding risk",DrugBank
dabigatran,ketoconazole,major,"Increased anticoagulant exposure",DrugBank
rivaroxaban,ritonavir,major,"Increased bleeding risk via CYP3A4 inhibition",DrugBank
clopidogrel,fluvoxamine,moderate,"Reduced antiplatelet activation",DrugBank
ticagrelor,clarithromycin,major,"Increased ticagrelor exposure → bleeding risk",DrugBank
metformin,topiramate,moderate,"Risk of metabolic acidosis",DrugBank
metformin,ranolazine,moderate,"Increased metformin plasma concentration",DrugBank
insulin,ACE inhibitors,moderate,"Enhanced hypoglycemic effect",Common
glyburide,fluconazole,major,"Severe hypoglycemia risk",DrugBank
pioglitazone,ketoconazole,moderate,"Increased pioglitazone levels",DrugBank
atorvastatin,cyclosporine,major,"Marked increase in statin exposure",DrugBank
simvastatin,ritonavir,major,"Rhabdomyolysis risk",DrugBank
pravastatin,gemfibrozil,major,"Increased myopathy risk",DrugBank
digoxin,clarithromycin,major,"Digoxin toxicity due to reduced clearance",DrugBank
digoxin,itraconazole,major,"Elevated digoxin levels",DrugBank
furosemide,lithium,major,"Increased lithium toxicity",DrugBank
spironolactone,trimethoprim,major,"Severe hyperkalemia risk",DrugBank
enalapril,potassium chloride,major,"Life-threatening hyperkalemia",DrugBank
theophylline,ciprofibrate,moderate,"Reduced theophylline clearance",DrugBank
carbamazepine,grapefruit juice,moderate,"Increased carbamazepine levels",DrugBank
phenytoin,fluconazole,major,"Increased phenytoin toxicity",DrugBank
valproate,topiramate,major,"Hyperammonemia risk",DrugBank
lamotrigine,oral contraceptives,moderate,"Reduced lamotrigine effectiveness",DrugBank
benzodiazepines,alcohol,major,"Profound CNS and respiratory depression",FDA
tramadol,bupropion,major,"Increased seizure risk",FDA
linezolid,tricyclic antidepressants,major,"Serotonin syndrome risk",FDA
ondansetron,citalopram,major,"QT prolongation risk",DrugBank
haloperidol,erythromycin,major,"Severe QT prolongation",DrugBank
methotrexate,penicillins,moderate,"Reduced methotrexate clearance",DrugBank
cyclosporine,clarithromycin,major,"Nephrotoxicity due to elevated levels",DrugBank
tacrolimus,erythromycin,major,"Increased tacrolimus exposure",DrugBank
levodopa,metoclopramide,major,"Reduced antiparkinsonian effect",Common
oral contraceptives,topiramate,major,"Reduced contraceptive efficacy",DrugBank
